dff	machine_status	job_id	machine_id	created_at	updated_at	total_run_time	total_cutting_time	run_time	feed_rate	cutting_speed	spindle_speed	spindle_load	axis_load	axis_name	programe_number	programe_description	run_second
1	1		16	2017-08-01 04:28:37 UTC	2017-08-01 04:28:37 UTC	33	734996	7	0	0					144		
1	1		16	2017-08-01 04:29:05 UTC	2017-08-01 04:29:05 UTC	33	734996	7	0	0					144		
1	1		16	2017-08-01 04:29:36 UTC	2017-08-01 04:29:36 UTC	33	734996	7	0	0					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:30:29 UTC	2017-08-01 04:30:29 UTC	33	734996	7	100	1199					144		
1	3		16	2017-08-01 04:31:01 UTC	2017-08-01 04:31:01 UTC	34	734996	7	0	0					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:31:44 UTC	2017-08-01 04:31:44 UTC	34	734997	8	250	2200					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:32:20 UTC	2017-08-01 04:32:20 UTC	35	734997	9	160	200					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:32:56 UTC	2017-08-01 04:32:56 UTC	36	734997	9	160	200					144		
1	3		16	2017-08-01 04:33:37 UTC	2017-08-01 04:33:37 UTC	36	734998	10	0	0					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:34:08 UTC	2017-08-01 04:34:08 UTC	37	734998	11	24830	1799					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:34:36 UTC	2017-08-01 04:34:36 UTC	37	734998	11	220	1798					144		
1	3		16	2017-08-01 04:35:00 UTC	2017-08-01 04:35:00 UTC	38	734999	11	0	0					144		
1	3		16	2017-08-01 04:35:25 UTC	2017-08-01 04:35:25 UTC	38	734999	12	24000	0					144		
1	3		16	2017-08-01 04:35:50 UTC	2017-08-01 04:35:50 UTC	38	734999	12	33941	0					144		
1	3		16	2017-08-01 04:36:14 UTC	2017-08-01 04:36:14 UTC	39	734999	13	33941	0					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:36:37 UTC	2017-08-01 04:36:37 UTC	39	734999	13	2036	1500					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:37:00 UTC	2017-08-01 04:37:00 UTC	40	734999	13	24000	502					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:37:23 UTC	2017-08-01 04:37:23 UTC	40	734999	14	201	189					144		
2	0		16	2017-08-01 04:37:45 UTC	2017-08-01 04:37:45 UTC	40	734999	14	0	0					144		
2	0		16	2017-08-01 04:38:10 UTC	2017-08-01 04:38:10 UTC	40	734999	14	0	0					144		
2	0		16	2017-08-01 04:38:37 UTC	2017-08-01 04:38:37 UTC	40	734999	14	0	0					144		
2	0		16	2017-08-01 04:38:59 UTC	2017-08-01 04:38:59 UTC	40	734999	14	0	0					144		
2	0		16	2017-08-01 04:39:25 UTC	2017-08-01 04:39:25 UTC	40	734999	14	0	0					144		
2	0		16	2017-08-01 04:39:55 UTC	2017-08-01 04:39:55 UTC	40	734999	14	0	0					144		
2	0		16	2017-08-01 04:40:18 UTC	2017-08-01 04:40:18 UTC	40	734999	14	0	0					144		
2	0		16	2017-08-01 04:40:41 UTC	2017-08-01 04:40:41 UTC	40	734999	14	0	0					144		
2	0		16	2017-08-01 04:41:03 UTC	2017-08-01 04:41:03 UTC	40	734999	14	0	0					144		
2	0		16	2017-08-01 04:41:36 UTC	2017-08-01 04:41:36 UTC	40	734999	14	0	0					144		
2	1		16	2017-08-01 04:42:02 UTC	2017-08-01 04:42:02 UTC	40	734999	0	0	1501					144		
2	0		16	2017-08-01 04:42:24 UTC	2017-08-01 04:42:24 UTC	40	734999	0	0	0					1300		
2	0		16	2017-08-01 04:42:47 UTC	2017-08-01 04:42:47 UTC	40	734999	0	0	0					144		
2	0		16	2017-08-01 04:43:14 UTC	2017-08-01 04:43:14 UTC	40	734999	0	0	0					144		
2	3		16	2017-08-01 04:43:40 UTC	2017-08-01 04:43:40 UTC	41	734999	0	350	1500					144		
2	3		16	2017-08-01 04:44:06 UTC	2017-08-01 04:44:06 UTC	41	735000	0	350	1500					144		
2	0		16	2017-08-01 04:44:34 UTC	2017-08-01 04:44:34 UTC	42	735000	1	24000	0					144		
2	0		16	2017-08-01 04:44:58 UTC	2017-08-01 04:44:58 UTC	42	735000	1	0	0					144		
2	0		16	2017-08-01 04:45:25 UTC	2017-08-01 04:45:25 UTC	42	735000	1	0	0					144		
2	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:45:50 UTC	2017-08-01 04:45:50 UTC	42	735000	0	0	2401					144		
2	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:46:16 UTC	2017-08-01 04:46:16 UTC	42	735001	0	24000	2401					144		
2	3		16	2017-08-01 04:46:44 UTC	2017-08-01 04:46:44 UTC	42	735001	0	6943	0					144		
2	3		16	2017-08-01 04:47:09 UTC	2017-08-01 04:47:09 UTC	43	735001	0	350	1500					144		
2	3		16	2017-08-01 04:47:38 UTC	2017-08-01 04:47:38 UTC	43	735001	0	350	1500					144		
2	3		16	2017-08-01 04:48:07 UTC	2017-08-01 04:48:07 UTC	44	735002	1	350	1500					144		
2	3		16	2017-08-01 04:48:33 UTC	2017-08-01 04:48:33 UTC	44	735002	1	350	1501					144		
2	3		16	2017-08-01 04:49:02 UTC	2017-08-01 04:49:02 UTC	44	735002	2	0	1500					144		
2	3		16	2017-08-01 04:49:28 UTC	2017-08-01 04:49:28 UTC	45	735003	2	350	1500					144		
2	3		16	2017-08-01 04:49:55 UTC	2017-08-01 04:49:55 UTC	45	735003	2	0	1500					144		
2	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:50:25 UTC	2017-08-01 04:50:25 UTC	46	735004	3	300	1400					144		
2	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:50:51 UTC	2017-08-01 04:50:51 UTC	46	735004	3	300	1599					144		
2	1		16	2017-08-01 04:51:16 UTC	2017-08-01 04:51:16 UTC	47	735004	4	0	2400					144		
2	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:51:42 UTC	2017-08-01 04:51:42 UTC	47	735004	4	420	2401					144		
2	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:52:08 UTC	2017-08-01 04:52:08 UTC	47	735005	5	350	2400					144		
